service_id,date,exception_type
weekend,20120406,1
weekend,20121216,1
weekend,20121225,1
weekend,20120102,1
weekend,20121217,1
weekend,20120101,1
weekend,20121226,1
weekend,20120409,1
weekend,20120501,1
weekend,20111216,1
weekend,20110809,1
weekend,20120809,1
weekend,20120616,1
weekend,20111226,1
weekend,20111225,1
weekend,20120924,1
weekend,20120427,1
weekend,20120321,1
weekend,20110924,1
weekday,20120406,2
weekday,20121216,2
weekday,20121225,2
weekday,20120102,2
weekday,20121217,2
weekday,20120101,2
weekday,20121226,2
weekday,20120409,2
weekday,20120501,2
weekday,20111216,2
weekday,20110809,2
weekday,20120809,2
weekday,20120616,2
weekday,20111226,2
weekday,20111225,2
weekday,20120924,2
weekday,20120427,2
weekday,20120321,2
weekday,20110924,2
