trip_id,start_time,end_time,headway_secs
RB1,05:30:00,20:30:00,1200
RB3,05:30:00,20:30:00,1200
RB2,05:30:00,20:30:00,1200
S3,05:30:00,20:30:00,1200
S5,05:30:00,20:30:00,1200
M1,05:30:00,20:30:00,1200
RF1,05:30:00,20:30:00,1200
H5,05:30:00,20:30:00,1200
P2,05:30:00,20:30:00,1200
P1,05:30:00,20:30:00,1200
H3,05:30:00,20:30:00,1200
H1,05:30:00,20:30:00,1200
H4,05:30:00,20:30:00,1200
C1,05:30:00,20:30:00,1200
S2,05:30:00,20:30:00,1200
S4,05:30:00,20:30:00,1200
C3,05:30:00,20:30:00,1200
C2,05:30:00,20:30:00,1200
M2,05:30:00,20:30:00,1200
C4,05:30:00,20:30:00,1200
RB4,05:30:00,20:30:00,1200
M3,05:30:00,20:30:00,1200
H2,05:30:00,20:30:00,1200
RB5,05:30:00,20:30:00,1200
