trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
gautrain_ns_1304,13:04:00,13:04:00,hatfield_platform_ns,1,,1,1,
gautrain_ns_1304,13:11:00,13:11:00,pretoria_platform_ns,2,,1,1,
gautrain_ns_1304,13:18:00,13:18:00,centurion_platform_ns,3,,1,1,
gautrain_ns_1304,13:27:00,13:27:00,midrand_platform_ns,4,,1,1,
gautrain_ns_1304,13:33:00,13:33:00,marlboro_platform_ns,5,,1,1,
gautrain_ns_1304,13:38:00,13:38:00,sandton_platform_ns,6,,1,1,
gautrain_ns_1304,13:42:00,13:42:00,rosebank_platform_ns,7,,1,1,
gautrain_we_1220,12:20:00,12:20:00,sandton_platform_we,1,,1,1,
gautrain_we_1220,12:24:00,12:24:00,marlboro_platform_we,2,,1,1,
gautrain_we_1220,12:32:00,12:32:00,rhodesfield_platform_we,3,,1,1,
gautrain_we_1220,12:34:00,12:34:00,ortambo_platform_we,4,,1,1,
RB1,00:00:00,00:00:00,Rb1_1,1,,1,1,
RB1,00:01:00,00:01:00,Rb1_2,2,,1,1,
RB1,00:02:00,00:02:00,Rb1_3,3,,1,1,
RB1,00:03:00,00:03:00,Rb1_4,4,,1,1,
RB1,00:04:00,00:04:00,Rb1_5,5,,1,1,
RB1,00:05:00,00:05:00,Rb1_6,6,,1,1,
RB1,00:06:00,00:06:00,Rb1_7,7,,1,1,
RB1,00:07:00,00:07:00,Rb1_8,8,,1,1,
RB1,00:08:00,00:08:00,Rb1_9,9,,1,1,
RB1,00:09:00,00:09:00,Rb1_10,10,,1,1,
RB1,00:10:00,00:10:00,Rb1_11,11,,1,1,
RB1,00:11:00,00:11:00,Rb1_12,12,,1,1,
RB1,00:12:00,00:12:00,Rb1_13,13,,1,1,
gautrain_we_1750,17:50:00,17:50:00,sandton_platform_we,1,,1,1,
gautrain_we_1750,17:54:00,17:54:00,marlboro_platform_we,2,,1,1,
gautrain_we_1750,18:02:00,18:02:00,rhodesfield_platform_we,3,,1,1,
gautrain_we_1750,18:04:00,18:04:00,ortambo_platform_we,4,,1,1,
RB3,00:00:00,00:00:00,Rb3_1,1,,1,1,
RB3,00:01:00,00:01:00,Rb3_2,2,,1,1,
RB3,00:02:00,00:02:00,Rb3_3,3,,1,1,
RB3,00:03:00,00:03:00,Rb3_4,4,,1,1,
RB3,00:04:00,00:04:00,Rb3_5,5,,1,1,
RB3,00:05:00,00:05:00,Rb3_6,6,,1,1,
RB3,00:06:00,00:06:00,Rb3_7,7,,1,1,
RB3,00:07:00,00:07:00,Rb3_8,8,,1,1,
RB3,00:08:00,00:08:00,Rb3_9,9,,1,1,
RB3,00:09:00,00:09:00,Rb3_10,10,,1,1,
RB3,00:10:00,00:10:00,Rb3_11,11,,1,1,
RB3,00:11:00,00:11:00,Rb3_12,12,,1,1,
gautrain_ew_1950,19:50:00,19:50:00,ortambo_platform_ew,1,,1,1,
gautrain_ew_1950,19:52:00,19:52:00,rhodesfield_platform_ew,2,,1,1,
gautrain_ew_1950,19:59:00,19:59:00,marlboro_platform_ew,3,,1,1,
gautrain_ew_1950,20:03:00,20:03:00,sandton_platform_ew,4,,1,1,
gautrain_we_1140,11:40:00,11:40:00,sandton_platform_we,1,,1,1,
gautrain_we_1140,11:44:00,11:44:00,marlboro_platform_we,2,,1,1,
gautrain_we_1140,11:52:00,11:52:00,rhodesfield_platform_we,3,,1,1,
gautrain_we_1140,11:54:00,11:54:00,ortambo_platform_we,4,,1,1,
RB2,00:00:00,00:00:00,Rb2_1,1,,1,1,
RB2,00:01:00,00:01:00,Rb2_2,2,,1,1,
gautrain_we_1826,18:26:00,18:26:00,sandton_platform_we,1,,1,1,
gautrain_we_1826,18:30:00,18:30:00,marlboro_platform_we,2,,1,1,
gautrain_we_1826,18:38:00,18:38:00,rhodesfield_platform_we,3,,1,1,
gautrain_we_1826,18:40:00,18:40:00,ortambo_platform_we,4,,1,1,
gautrain_ns_1424,14:24:00,14:24:00,hatfield_platform_ns,1,,1,1,
gautrain_ns_1424,14:31:00,14:31:00,pretoria_platform_ns,2,,1,1,
gautrain_ns_1424,14:38:00,14:38:00,centurion_platform_ns,3,,1,1,
gautrain_ns_1424,14:47:00,14:47:00,midrand_platform_ns,4,,1,1,
gautrain_ns_1424,14:53:00,14:53:00,marlboro_platform_ns,5,,1,1,
gautrain_ns_1424,14:58:00,14:58:00,sandton_platform_ns,6,,1,1,
gautrain_ns_1424,15:02:00,15:02:00,rosebank_platform_ns,7,,1,1,
gautrain_sn_0848,08:52:00,08:52:00,rosebank_platform_sn,1,,1,1,
gautrain_sn_0848,08:56:00,08:56:00,sandton_platform_sn,2,,1,1,
gautrain_sn_0848,09:00:00,09:00:00,marlboro_platform_sn,3,,1,1,
gautrain_sn_0848,09:06:00,09:06:00,midrand_platform_sn,4,,1,1,
gautrain_sn_0848,09:15:00,09:15:00,centurion_platform_sn,5,,1,1,
gautrain_sn_0848,09:23:00,09:23:00,pretoria_platform_sn,6,,1,1,
gautrain_sn_0848,09:30:00,09:30:00,hatfield_platform_sn,7,,1,1,
gautrain_ew_1832,18:32:00,18:32:00,ortambo_platform_ew,1,,1,1,
gautrain_ew_1832,18:34:00,18:34:00,rhodesfield_platform_ew,2,,1,1,
gautrain_ew_1832,18:41:00,18:41:00,marlboro_platform_ew,3,,1,1,
gautrain_ew_1832,18:45:00,18:45:00,sandton_platform_ew,4,,1,1,
gautrain_sn_0712,07:16:00,07:16:00,rosebank_platform_sn,1,,1,1,
