stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
-26.099353,1,S5-5,28.050296,,,,,"Benmore Shopping Centre, Benmore Rd",0,S5_5,
-26.100631,1,S5-4,28.051104,,,,,Grayston Dr & West St,0,S5_4,
-26.086786,1,S5-7,28.046827,,,,,Benmore Rd & Outspan Rd,0,S5_7,
-26.090387,1,S5-6,28.049109,,,,,Benmore Rd & Montague Simpson Cres,0,S5_6,
-26.108433,1,S5-1,28.057119,,,,,Sandton Station,0,S5_1,
-26.098471,1,S5-3,28.056631,,,,,"Investec, Grayston Dr",0,S5_3,
-26.104287,1,S5-2,28.060554,,,,,"Holiday Inn, 123 Rivonia Rd",0,S5_2,
-26.083613,1,,28.112555,,http://www.gautrain.co.za/about/route/stations/marlboro-station/,,,Marlboro Gautrain Station,1,marlboro_station,
-26.077342,1,S5-9,28.048177,,,,,Ballyclare Dr & Greenbelt Rd,0,S5_9,
-26.08282,1,S5-8,28.050698,,,,,"Sandton Raquets Club, Ballyclare Dr",0,S5_8,
-25.74235,1,P1-12,28.1831833333333,,,,,Struben St & Schubart St,0,P1_12,
-25.7419833333333,1,P1-10,28.1887333333333,,,,,222 Struben St,0,P1_10,
-25.7493333333333,1,P1-11,28.1809333333333,,,,,Potgieter St & Shoemann St,0,P1_11,
-26.031837,1,S5-15,28.009621,,,,,William Nicol Dr & Leslie Ave,0,S5_15,
-26.04173,1,S5-14,28.014905,,,,,"Epsom Downs, William Nicol Dr",0,S5_14,
-26.028088,1,S5-17,28.0096,,,,,William Nicol Dr & Monte Casino Boulevard,0,S5_17,
-26.026588,1,S5-16,28.013772,,,,,Monte Casino Boulevard - 2nd Circle,0,S5_16,
-26.075768,1,S5-11,28.027737,,,,,Ballyclare Dr & Hobart St (Bryanston Shopping Centre),0,S5_11,
-26.074275,1,S5-10,28.043553,,,,,"Total Garage, Ballyclare Dr",0,S5_10,
-26.052507,1,S5-13,28.021234,,,,,William Nicol Dr & Wedgewood Link,0,S5_13,
-26.064814,1,S5-12,28.02455,,,,,William Nicol Dr & Ormonde St,0,S5_12,
-26.0323666666667,1,M3-15,28.0804333333333,,,,,Maxwell Dr & Peltier Dr,0,M3_15,
-26.032,1,M3-14,28.0705333333333,,,,,Van der Bijl Ave & Nanyuki Rd,0,M3_14,
-26.0067833333333,1,M3-17,28.11645,,,,,Bekker Rd & Montrose Rd,0,M3_17,
-25.74605,1,P2-4,28.1855666666667,,,,,Bosman St & Church St,0,P2_4,
-26.041565,1,S5-19,28.015,,,,,William Nicol Dr opposite Epsom Downs,0,S5_19,
-26.033647,1,S5-18,28.010334,,,,,William Nicol Dr & Leslie Ave,0,S5_18,
-25.7535833333333,1,P2-1,28.1861666666667,,,,,Bosman St & Minaar St,0,P2_1,
-26.0319166666667,1,M3-12,28.0633,,,,,"The Square, Leeuwkop Rd",0,M3_12,
-26.1078,1,,28.0575,,,sandton_station,,Sandton Platform ,0,sandton_platform_ew,
-26.083917,1,,28.111633,,,marlboro_station,,Marlboro Platform D,0,marlboro_platform_ew,
-26.110437,1,RF1-24,28.236001,,,,,Albatross St & Langenhoven St,0,RF1_24,
-26.116693,1,RF1-25,28.233418,,,,,Gladiator St & Harvard St,0,RF1_25,
-26.122177,1,RF1-26,28.232533,,,,,"Premier Hotel OR Tambo, Gladiator St",0,RF1_26,
-26.125007,1,RF1-27,28.232311,,,,,"Protea Hotel OR Tambo, Whirlwind St",0,RF1_27,
-26.102116,1,RF1-20,28.230491,,,,,"The Food Court, CR Swart Rd",0,RF1_20,
-26.101248,1,RF1-21,28.227437,,,,,"Civic Centre, CR Swart Dr",0,RF1_21,
-26.103597,1,RF1-22,28.227267,,,,,Long St & End St,0,RF1_22,
-26.107339,1,RF1-23,28.234001,,,,,"Arwyp Medical Centre, Central Ave",0,RF1_23,
-26.14525,1,,28.0438667,,,rosebank_station,,Rosebank Platform ,0,rosebank_platform_ns,
-25.74955,1,H3-10,28.2128,,,,,Park St & Wessels St,0,H3_10,
-25.7501666666667,1,H3-11,28.2182833333333,,,,,Park St & Beckett St,0,H3_11,
-25.74995,1,H3-12,28.22315,,,,,Park St & Eastwood St,0,H3_12,
-25.7495833333333,1,H3-13,28.22875,,,,,Park St & Burnett St,0,H3_13,
-26.083917,1,,28.111633,,,marlboro_station,,Marlboro Platform A,0,marlboro_platform_sn,
-26.1455333333333,1,Rb1-9,28.0773666666667,,,,,Hamlin Rd  & 7th Ave,0,Rb1_9,
-26.1419333333333,1,Rb1-8,28.0777,,,,,St Mary's School & Waverly Girls High School,0,Rb1_8,
-26.1493166666667,1,Rb1-5,28.0865166666667,,,,,Louis Botha Ave & Main St,0,Rb1_5,
-26.1572166666667,1,Rb1-4,28.0841666666667,,,,,Ivy Rd & Pine Rd,0,Rb1_4,
-26.1397666666667,1,Rb1-7,28.0861666666667,,,,,Athol St & Louis Botha Ave,0,Rb1_7,
-26.1446333333333,1,Rb1-6,28.0867,,,,,Louis Botha Ave & 6th Rd,0,Rb1_6,
-26.1523166666667,1,Rb1-1,28.0454833333333,,,,,Oxford Rd & Worcester St,0,Rb1_1,
-26.15665,1,Rb1-3,28.0758833333333,,,,,11th Ave & Grant Ave,0,Rb1_3,
-26.1557833333333,1,Rb1-2,28.0593,,,,,11th Ave & Central St,0,Rb1_2,
-26.1288,1,Rb3-3,28.04765,,,,,"Illovo Blvd, North Piazza",0,Rb3_3,
-26.1338,1,Rb3-2,28.0465,,,,,"Illovo Blvd, South Piazza",0,Rb3_2,
-26.1387,1,Rb3-1,28.0456166666667,,,,,Oxford Rd & Hume Rd,0,Rb3_1,
-26.1303833333333,1,Rb3-7,28.0492666666667,,,,,"Thrupps Center, Oxford Rd",0,Rb3_7,
-26.1245666666667,1,Rb3-6,28.0486166666667,,,,,Oxford Rd & Boundary Rd,0,Rb3_6,
-26.1207166666667,1,Rb3-5,28.0466666666667,,,,,"Summer Place, Melville Rd",0,Rb3_5,
-26.1237666666667,1,Rb3-4,28.0464833333333,,,,,54 Melville Rd,0,Rb3_4,
-26.1354333333333,1,Rb3-9,28.0524166666667,,,,,"Wanderers Protea Hotel, Rudd Rd",0,Rb3_9,
-26.1318166666667,1,Rb3-8,28.0505,,,,,Chaplin Rd & Rudd Rd,0,Rb3_8,
-26.1078,1,,28.0575,,,sandton_station,,Sandton Platform ,0,sandton_platform_we,
-25.7686833333333,1,H1-4,28.2341833333333,,,,,"Brooklyn Office Park, Fehrsen St",0,H1_4,
-26.090306,1,S4-12,28.026245,,,,,William Nicol Dr & Republic Rd,0,S4_12,
-26.0083166666667,1,M3-19,28.1262666666667,,,,,778 Richards Dr,0,M3_19,
-26.0098333333333,1,M3-18,28.12195,,,,,Le Roux Ave & Old Pretoria Rd,0,M3_18,
-25.8716666666667,1,C2-14,28.1389333333333,,,,,The Mall @ Reds,0,C2_14,
-25.8705333333333,1,C2-15,28.1515333333333,,,,,Reddersburg Rd & Theuns van Niekerk St,0,C2_15,
-25.8724666666667,1,C2-16,28.1550833333333,,,,,Escort Ave & Howick St,0,C2_16,
-25.8763,1,C2-17,28.1641666666667,,,,,Centurion Lifestyle Center,0,C2_17,
-25.8808166666667,1,C2-10,28.1338666666667,,,,,"Amberfield Ridge, Lenchen Ave",0,C2_10,
-25.7478333333333,1,,28.2363833333333,,,hatfield_station,,Hatfield Station Bus Stop,0,hatfield_bus,
-25.8726333333333,1,C2-12,28.1354833333333,,,,,Fouriesburg Rd & Reddersburg Rd,0,C2_12,
-25.8704333333333,1,C2-13,28.1365333333333,,,,,Raslouw Lifestyle Center,0,C2_13,
-25.7410333333333,1,P2-8,28.1900666666667,,,,,"National Department of Health, Andries St",0,P2_8,
-25.8705666666667,1,C2-18,28.1769666666667,,,,,Lenchen Ave & K109,0,C2_18,
-25.8647333333333,1,C2-19,28.1838833333333,,,,,Centurion Cresent Shopping Center,0,C2_19,
-25.8780166666667,1,C1-14,28.1771166666667,,,,,Eco Blvd,0,C1_14,
-25.7391166666667,1,P2-7,28.1894333333333,,,,,"Pretoria Zoo, Boom St",0,P2_7,
-25.74185,1,P2-6,28.1852,,,,,Bosman St & Struben St,0,P2_6,
-25.7430166666667,1,P2-5,28.1853,,,,,Bosman St & Proes St,0,P2_5,
-26.0087333333333,1,M3-16,28.115,,,,,Bekker Rd & Mac Mac Rd,0,M3_16,
-26.0328166666667,1,M3-11,28.067,,,,,1 Eglin Rd,0,M3_11,
-26.0344333333333,1,M3-10,28.0689333333333,,,,,Simba Rd & Nanyuki Rd,0,M3_10,
-26.03,1,M3-13,28.0609166666667,,,,,Chilli Lane Shopping Center,0,M3_13,
-26.095128,1,S4-11,28.017401,,,,,Republic Rd & View Rd,0,S4_11,
-26.1384333333333,1,Rb3-12,28.0459166666667,,,,,Oxford Rd & Hume Rd,0,Rb3_12,
-26.1361666666667,1,Rb3-11,28.0475833333333,,,,,Oxford Rd & North St,0,Rb3_11,
-26.1361166666667,1,Rb3-10,28.04995,,,,,North St & Atherstone Rd,0,Rb3_10,
-25.99648,1,,28.137583,,,midrand_station,,Midrand Platform ,0,midrand_platform_sn,
-26.1462,1,Rb4-1,28.0406333333333,,,,,"The Grace Hotel, Bath Ave",0,Rb4_1,
-26.1491333333333,1,Rb4-2,28.0366833333333,,,,,Bolton Rd & Sussex Rd,0,Rb4_2,
-26.1457333333333,1,Rb4-3,28.0356833333333,,,,,Jan Smuts Ave & 7th Ave,0,Rb4_3,
-26.1420833333333,1,Rb4-4,28.0356166666667,,,,,Jan Smuts Ave & 8th Ave,0,Rb4_4,
-26.1346833333333,1,Rb4-5,28.0351833333333,,,,,Jan Smuts Ave & Hume Rd,0,Rb4_5,
-26.1294833333333,1,Rb4-6,28.0341166666667,,,,,"Hyde Square, Jan Smuts Ave",0,Rb4_6,
-26.1260833333333,1,Rb4-7,28.0338166666667,,,,,Hyde Park Shopping Centre,0,Rb4_7,
-26.12205,1,Rb4-8,28.0357333333333,,,,,75 6th Rd,0,Rb4_8,
-26.11735,1,Rb4-9,28.0321666666667,,,,,William Nicole  Dr & 2nd Rd,0,Rb4_9,
-26.12884,1,,28.224729,,http://www.gautrain.co.za/about/route/stations/rhodesfield-station/,,,Rhodesfield Gautrain Station,1,rhodesfield_station,
-25.7538666666667,1,P1-2,28.19115,,,,,"Burgers Park, Andries St",0,P1_2,
