trip_bikes_allowed,direction_id,wheelchair_accessible,block_id,route_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_1304,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1220,
,0,,,RB1,,RB1,weekday,RB1,RB1
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1750,
,0,,,RB3,,RB3,weekday,RB3,RB3
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_1950,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1140,
,0,,,RB2,,RB2,weekday,RB2,RB2
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1826,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_1424,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_0848,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_1832,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_0712,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_1826,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1950,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_1320,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_0918,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_1616,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_0754,
,0,,,S3,,S3,weekday,S3,S3
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_0618,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_1656,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_0524,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_1340,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_0748,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1538,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_0624,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_1500,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1020,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_0612,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_1318,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_1828,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_0630,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_1158,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1930,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1838,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_1814,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_0530,
,0,,,S5,,S5,weekday,S5,S5
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_1240,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_0714,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_0700,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_0920,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_1950,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_2030,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_1044,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_1244,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_1604,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_0812,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_1902,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_1808,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_1904,
,1,,,gautrain_ns,Hatfield,gautrain_sn,weekday,gautrain_sn_1018,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_0606,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_0802,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_2010,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1340,
,0,,,gautrain_ns,Rosebank,gautrain_ns,weekday,gautrain_ns_1144,
,0,,,gautrain_ew,OR Tambo / Rhodesfield,gautrain_ew,weekday,gautrain_ew_1200,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_1040,
,1,,,gautrain_ew,Sandton,gautrain_we,weekday,gautrain_we_0600,
